Year,Month,Month_3Char,Week,YearWeek,Start Date,End Date,CNY
2016,1,1,1,201601,2016-01-04,2016-01-10,No
2016,1,1,2,201602,2016-01-11,2016-01-17,No
2016,1,1,3,201603,2016-01-18,2016-01-24,Yes
2016,1,1,4,201604,2016-01-25,2016-01-31,Yes
2016,2,2,5,201605,2016-02-01,2016-02-07,Yes
2016,2,2,6,201606,2016-02-08,2016-02-14,Yes
2016,2,2,7,201607,2016-02-15,2016-02-21,Yes
2016,2,2,8,201608,2016-02-22,2016-02-28,No
2016,3,3,9,201609,2016-02-29,2016-03-06,No
2016,3,3,10,201610,2016-03-07,2016-03-13,No
2016,3,3,11,201611,2016-03-14,2016-03-20,No
2016,3,3,12,201612,2016-03-21,2016-03-27,No
2016,3,3,13,201613,2016-03-28,2016-04-03,No
2016,4,4,14,201614,2016-04-04,2016-04-10,No
2016,4,4,15,201615,2016-04-11,2016-04-17,No
2016,4,4,16,201616,2016-04-18,2016-04-24,No
2016,4,4,17,201617,2016-04-25,2016-05-01,No
2016,5,5,18,201618,2016-05-02,2016-05-08,No
2016,5,5,19,201619,2016-05-09,2016-05-15,No
2016,5,5,20,201620,2016-05-16,2016-05-22,No
2016,5,5,21,201621,2016-05-23,2016-05-29,No
2016,6,6,22,201622,2016-05-30,2016-06-05,No
2016,6,6,23,201623,2016-06-06,2016-06-12,No
2016,6,6,24,201624,2016-06-13,2016-06-19,No
2016,6,6,25,201625,2016-06-20,2016-06-26,No
2016,6,6,26,201626,2016-06-27,2016-07-03,No
2016,7,7,27,201627,2016-07-04,2016-07-10,No
2016,7,7,28,201628,2016-07-11,2016-07-17,No
2016,7,7,29,201629,2016-07-18,2016-07-24,No
2016,7,7,30,201630,2016-07-25,2016-07-31,No
2016,8,8,31,201631,2016-08-01,2016-08-07,No
2016,8,8,32,201632,2016-08-08,2016-08-14,No
2016,8,8,33,201633,2016-08-15,2016-08-21,No
2016,8,8,34,201634,2016-08-22,2016-08-28,No
2016,9,9,35,201635,2016-08-29,2016-09-04,No
2016,9,9,36,201636,2016-09-05,2016-09-11,No
2016,9,9,37,201637,2016-09-12,2016-09-18,No
2016,9,9,38,201638,2016-09-19,2016-09-25,No
2016,9,9,39,201639,2016-09-26,2016-10-02,No
2016,10,10,40,201640,2016-10-03,2016-10-09,No
2016,10,10,41,201641,2016-10-10,2016-10-16,No
2016,10,10,42,201642,2016-10-17,2016-10-23,No
2016,10,10,43,201643,2016-10-24,2016-10-30,No
2016,11,11,44,201644,2016-10-31,2016-11-06,No
2016,11,11,45,201645,2016-11-07,2016-11-13,No
2016,11,11,46,201646,2016-11-14,2016-11-20,No
2016,11,11,47,201647,2016-11-21,2016-11-27,No
2016,12,12,48,201648,2016-11-28,2016-12-04,No
2016,12,12,49,201649,2016-12-05,2016-12-11,No
2016,12,12,50,201650,2016-12-12,2016-12-18,No
2016,12,12,51,201651,2016-12-19,2016-12-25,No
2016,12,12,52,201652,2016-12-26,2017-01-01,No
2017,1,1,1,201701,2017-01-02,2017-01-08,Yes
2017,1,1,2,201702,2017-01-09,2017-01-15,Yes
2017,1,1,3,201703,2017-01-16,2017-01-22,Yes
2017,1,1,4,201704,2017-01-23,2017-01-29,Yes
2017,2,2,5,201705,2017-01-30,2017-02-05,Yes
2017,2,2,6,201706,2017-02-06,2017-02-12,No
2017,2,2,7,201707,2017-02-13,2017-02-19,No
2017,2,2,8,201708,2017-02-20,2017-02-26,No
2017,3,3,9,201709,2017-02-27,2017-03-05,No
2017,3,3,10,201710,2017-03-06,2017-03-12,No
2017,3,3,11,201711,2017-03-13,2017-03-19,No
2017,3,3,12,201712,2017-03-20,2017-03-26,No
2017,3,3,13,201713,2017-03-27,2017-04-02,No
2017,4,4,14,201714,2017-04-03,2017-04-09,No
2017,4,4,15,201715,2017-04-10,2017-04-16,No
2017,4,4,16,201716,2017-04-17,2017-04-23,No
2017,4,4,17,201717,2017-04-24,2017-04-30,No
2017,5,5,18,201718,2017-05-01,2017-05-07,No
2017,5,5,19,201719,2017-05-08,2017-05-14,No
2017,5,5,20,201720,2017-05-15,2017-05-21,No
2017,5,5,21,201721,2017-05-22,2017-05-28,No
2017,6,6,22,201722,2017-05-29,2017-06-04,No
2017,6,6,23,201723,2017-06-05,2017-06-11,No
2017,6,6,24,201724,2017-06-12,2017-06-18,No
2017,6,6,25,201725,2017-06-19,2017-06-25,No
2017,6,6,26,201726,2017-06-26,2017-07-02,No
2017,7,7,27,201727,2017-07-03,2017-07-09,No
2017,7,7,28,201728,2017-07-10,2017-07-16,No
2017,7,7,29,201729,2017-07-17,2017-07-23,No
2017,7,7,30,201730,2017-07-24,2017-07-30,No
2017,8,8,31,201731,2017-07-31,2017-08-06,No
2017,8,8,32,201732,2017-08-07,2017-08-13,No
2017,8,8,33,201733,2017-08-14,2017-08-20,No
2017,8,8,34,201734,2017-08-21,2017-08-27,No
2017,9,9,35,201735,2017-08-28,2017-09-03,No
2017,9,9,36,201736,2017-09-04,2017-09-10,No
2017,9,9,37,201737,2017-09-11,2017-09-17,No
2017,9,9,38,201738,2017-09-18,2017-09-24,No
2017,9,9,39,201739,2017-09-25,2017-10-01,No
2017,10,10,40,201740,2017-10-02,2017-10-08,No
2017,10,10,41,201741,2017-10-09,2017-10-15,No
2017,10,10,42,201742,2017-10-16,2017-10-22,No
2017,10,10,43,201743,2017-10-23,2017-10-29,No
2017,11,11,44,201744,2017-10-30,2017-11-05,No
2017,11,11,45,201745,2017-11-06,2017-11-12,No
2017,11,11,46,201746,2017-11-13,2017-11-19,No
2017,11,11,47,201747,2017-11-20,2017-11-26,No
2017,12,12,48,201748,2017-11-27,2017-12-03,No
2017,12,12,49,201749,2017-12-04,2017-12-10,No
2017,12,12,50,201750,2017-12-11,2017-12-17,No
2017,12,12,51,201751,2017-12-18,2017-12-24,No
2017,12,12,52,201752,2017-12-25,2017-12-31,No
2018,1,1,1,201801,2018-01-01,2018-01-07,No
2018,1,1,2,201802,2018-01-08,2018-01-14,No
2018,1,1,3,201803,2018-01-15,2018-01-21,No
2018,1,1,4,201804,2018-01-22,2018-01-28,Yes
2018,2,2,5,201805,2018-01-29,2018-02-04,Yes
2018,2,2,6,201806,2018-02-05,2018-02-11,Yes
2018,2,2,7,201807,2018-02-12,2018-02-18,Yes
2018,2,2,8,201808,2018-02-19,2018-02-25,Yes
2018,3,3,9,201809,2018-02-26,2018-03-04,No
2018,3,3,10,201810,2018-03-05,2018-03-11,No
2018,3,3,11,201811,2018-03-12,2018-03-18,No
2018,3,3,12,201812,2018-03-19,2018-03-25,No
2018,3,3,13,201813,2018-03-26,2018-04-01,No
2018,4,4,14,201814,2018-04-02,2018-04-08,No
2018,4,4,15,201815,2018-04-09,2018-04-15,No
2018,4,4,16,201816,2018-04-16,2018-04-22,No
2018,4,4,17,201817,2018-04-23,2018-04-29,No
2018,5,5,18,201818,2018-04-30,2018-05-06,No
2018,5,5,19,201819,2018-05-07,2018-05-13,No
2018,5,5,20,201820,2018-05-14,2018-05-20,No
2018,5,5,21,201821,2018-05-21,2018-05-27,No
2018,6,6,22,201822,2018-05-28,2018-06-03,No
2018,6,6,23,201823,2018-06-04,2018-06-10,No
2018,6,6,24,201824,2018-06-11,2018-06-17,No
2018,6,6,25,201825,2018-06-18,2018-06-24,No
2018,6,6,26,201826,2018-06-25,2018-07-01,No
2018,7,7,27,201827,2018-07-02,2018-07-08,No
2018,7,7,28,201828,2018-07-09,2018-07-15,No
2018,7,7,29,201829,2018-07-16,2018-07-22,No
2018,7,7,30,201830,2018-07-23,2018-07-29,No
2018,8,8,31,201831,2018-07-30,2018-08-05,No
2018,8,8,32,201832,2018-08-06,2018-08-12,No
2018,8,8,33,201833,2018-08-13,2018-08-19,No
2018,8,8,34,201834,2018-08-20,2018-08-26,No
2018,9,9,35,201835,2018-08-27,2018-09-02,No
2018,9,9,36,201836,2018-09-03,2018-09-09,No
2018,9,9,37,201837,2018-09-10,2018-09-16,No
2018,9,9,38,201838,2018-09-17,2018-09-23,No
2018,9,9,39,201839,2018-09-24,2018-09-30,No
2018,10,10,40,201840,2018-10-01,2018-10-07,No
2018,10,10,41,201841,2018-10-08,2018-10-14,No
2018,10,10,42,201842,2018-10-15,2018-10-21,No
2018,10,10,43,201843,2018-10-22,2018-10-28,No
2018,11,11,44,201844,2018-10-29,2018-11-04,No
2018,11,11,45,201845,2018-11-05,2018-11-11,No
2018,11,11,46,201846,2018-11-12,2018-11-18,No
2018,11,11,47,201847,2018-11-19,2018-11-25,No
2018,12,12,48,201848,2018-11-26,2018-12-02,No
2018,12,12,49,201849,2018-12-03,2018-12-09,No
2018,12,12,50,201850,2018-12-10,2018-12-16,No
2018,12,12,51,201851,2018-12-17,2018-12-23,No
2018,12,12,52,201852,2018-12-24,2018-12-30,No
2019,1,1,1,201901,2018-12-31,2019-01-06,No
2019,1,1,2,201902,2019-01-07,2019-01-13,No
2019,1,1,3,201903,2019-01-14,2019-01-20,Yes
2019,1,1,4,201904,2019-01-21,2019-01-27,Yes
2019,2,2,5,201905,2019-01-28,2019-02-03,Yes
2019,2,2,6,201906,2019-02-04,2019-02-10,Yes
2019,2,2,7,201907,2019-02-11,2019-02-17,Yes
2019,2,2,8,201908,2019-02-18,2019-02-24,No
2019,3,3,9,201909,2019-02-25,2019-03-03,No
2019,3,3,10,201910,2019-03-04,2019-03-10,No
2019,3,3,11,201911,2019-03-11,2019-03-17,No
2019,3,3,12,201912,2019-03-18,2019-03-24,No
2019,3,3,13,201913,2019-03-25,2019-03-31,No
2019,4,4,14,201914,2019-04-01,2019-04-07,No
2019,4,4,15,201915,2019-04-08,2019-04-14,No
2019,4,4,16,201916,2019-04-15,2019-04-21,No
2019,4,4,17,201917,2019-04-22,2019-04-28,No
2019,5,5,18,201918,2019-04-29,2019-05-05,No
2019,5,5,19,201919,2019-05-06,2019-05-12,No
2019,5,5,20,201920,2019-05-13,2019-05-19,No
2019,5,5,21,201921,2019-05-20,2019-05-26,No
2019,6,6,22,201922,2019-05-27,2019-06-02,No
2019,6,6,23,201923,2019-06-03,2019-06-09,No
2019,6,6,24,201924,2019-06-10,2019-06-16,No
2019,6,6,25,201925,2019-06-17,2019-06-23,No
2019,6,6,26,201926,2019-06-24,2019-06-30,No
2019,7,7,27,201927,2019-07-01,2019-07-07,No
2019,7,7,28,201928,2019-07-08,2019-07-14,No
2019,7,7,29,201929,2019-07-15,2019-07-21,No
2019,7,7,30,201930,2019-07-22,2019-07-28,No
2019,8,8,31,201931,2019-07-29,2019-08-04,No
2019,8,8,32,201932,2019-08-05,2019-08-11,No
2019,8,8,33,201933,2019-08-12,2019-08-18,No
2019,8,8,34,201934,2019-08-19,2019-08-25,No
2019,9,9,35,201935,2019-08-26,2019-09-01,No
2019,9,9,36,201936,2019-09-02,2019-09-08,No
2019,9,9,37,201937,2019-09-09,2019-09-15,No
2019,9,9,38,201938,2019-09-16,2019-09-22,No
2019,9,9,39,201939,2019-09-23,2019-09-29,No
2019,10,10,40,201940,2019-09-30,2019-10-06,No
2019,10,10,41,201941,2019-10-07,2019-10-13,No
2019,10,10,42,201942,2019-10-14,2019-10-20,No
2019,10,10,43,201943,2019-10-21,2019-10-27,No
2019,11,11,44,201944,2019-10-28,2019-11-03,No
2019,11,11,45,201945,2019-11-04,2019-11-10,No
2019,11,11,46,201946,2019-11-11,2019-11-17,No
2019,11,11,47,201947,2019-11-18,2019-11-24,No
2019,12,12,48,201948,2019-11-25,2019-12-01,No
2019,12,12,49,201949,2019-12-02,2019-12-08,No
2019,12,12,50,201950,2019-12-09,2019-12-15,No
2019,12,12,51,201951,2019-12-16,2019-12-22,No
2019,12,12,52,201952,2019-12-23,2019-12-29,No
2020,1,1,1,202001,2019-12-30,2020-01-05,Yes
2020,1,1,2,202002,2020-01-06,2020-01-12,Yes
2020,1,1,3,202003,2020-01-13,2020-01-19,Yes
2020,1,1,4,202004,2020-01-20,2020-01-26,Yes
2020,2,2,5,202005,2020-01-27,2020-02-02,Yes
2020,2,2,6,202006,2020-02-03,2020-02-09,No
2020,2,2,7,202007,2020-02-10,2020-02-16,No
2020,2,2,8,202008,2020-02-17,2020-02-23,No
2020,3,3,9,202009,2020-02-24,2020-03-01,No
2020,3,3,10,202010,2020-03-02,2020-03-08,No
2020,3,3,11,202011,2020-03-09,2020-03-15,No
2020,3,3,12,202012,2020-03-16,2020-03-22,No
2020,3,3,13,202013,2020-03-23,2020-03-29,No
2020,4,4,14,202014,2020-03-30,2020-04-05,No
2020,4,4,15,202015,2020-04-06,2020-04-12,No
2020,4,4,16,202016,2020-04-13,2020-04-19,No
2020,4,4,17,202017,2020-04-20,2020-04-26,No
2020,5,5,18,202018,2020-04-27,2020-05-03,No
2020,5,5,19,202019,2020-05-04,2020-05-10,No
2020,5,5,20,202020,2020-05-11,2020-05-17,No
2020,5,5,21,202021,2020-05-18,2020-05-24,No
2020,6,6,22,202022,2020-05-25,2020-05-31,No
2020,6,6,23,202023,2020-06-01,2020-06-07,No
2020,6,6,24,202024,2020-06-08,2020-06-14,No
2020,6,6,25,202025,2020-06-15,2020-06-21,No
2020,6,6,26,202026,2020-06-22,2020-06-28,No
2020,7,7,27,202027,2020-06-29,2020-07-05,No
2020,7,7,28,202028,2020-07-06,2020-07-12,No
2020,7,7,29,202029,2020-07-13,2020-07-19,No
2020,7,7,30,202030,2020-07-20,2020-07-26,No
2020,8,8,31,202031,2020-07-27,2020-08-02,No
2020,8,8,32,202032,2020-08-03,2020-08-09,No
2020,8,8,33,202033,2020-08-10,2020-08-16,No
2020,8,8,34,202034,2020-08-17,2020-08-23,No
2020,9,9,35,202035,2020-08-24,2020-08-30,No
2020,9,9,36,202036,2020-08-31,2020-09-06,No
2020,9,9,37,202037,2020-09-07,2020-09-13,No
2020,9,9,38,202038,2020-09-14,2020-09-20,No
2020,9,9,39,202039,2020-09-21,2020-09-27,No
2020,10,10,40,202040,2020-09-28,2020-10-04,No
2020,10,10,41,202041,2020-10-05,2020-10-11,No
2020,10,10,42,202042,2020-10-12,2020-10-18,No
2020,10,10,43,202043,2020-10-19,2020-10-25,No
2020,11,11,44,202044,2020-10-26,2020-11-01,No
2020,11,11,45,202045,2020-11-02,2020-11-08,No
2020,11,11,46,202046,2020-11-09,2020-11-15,No
2020,11,11,47,202047,2020-11-16,2020-11-22,No
2020,12,12,48,202048,2020-11-23,2020-11-29,No
2020,12,12,49,202049,2020-11-30,2020-12-06,No
2020,12,12,50,202050,2020-12-07,2020-12-13,No
2020,12,12,51,202051,2020-12-14,2020-12-20,No
2020,12,12,52,202052,2020-12-21,2020-12-27,No
